|   ID | Manufacturer_Name                          | City        | State           |
|  265 | NYX APPARELS                              | Delhi        | Delhi           |
|  266 | QOMN Apparels                             | Jaipur       | Rajasthan       |
|  267 | Bhumi E Retail Pvt ltd                    | Jaipur       | Rajasthan       |
|  268 | Aditya Birla Fashion & Retail Ltd         | Mumbai       | Maharashtra     |
|  269 | Falcon Apparels                           | New Delhi    | Delhi           |
|  270 | Jay bharat Overseas Pvt Ltd               | Surat        | Gujarat         |
|  271 | Eternal Clothing Line                     | Surat        | Gujarat         |
|  272 | Dheera fashion Lifestyle                  | Jaipur       | Rajasthan       |
|  273 | Taraasha Creations Pvt. Ltd.              | New Delhi    | Delhi           |
|  274 | Kavita Women Wear Private Limited         | Noida        | Uttar Pradesh   |
|  275 | Ahalyaa711                               | Surat        | Gujarat         |
|  276 | Thread bucket Studio LLP                  | Surat        | Gujarat         |
|  277 | Dyuti Creations Pvt.Ltd.                  | Jaipur       | Rajasthan       |
|  278 | DIVYANK FASHION                           | Jaipur       | Rajasthan       |
|  279 | Aravalii Ecommerce India Private Limited  | Delhi        | Delhi           |
|  280 | Mokksha Designs                           | Chennai      | Tamil Nadu      |
|  281 | Kavita Women Wear Private Limited         | Noida        | Uttar Pradesh   |
|  282 | Sunidhi Lifestyle                         | Gurgaon      | Haryana         |
|  283 | Brand Studio Lifestyle Pvt Ltd            | Bangalore    | Karnataka       |
|  284 | SHREE BALAJI FASHIONS                     | Mumbai       | Maharashtra     |
|  285 | EGNK HOME & DESIGNS                       | Jaipur       | Rajasthan       |
|  286 | V B Exports                               | Surat        | Gujarat         |
|  287 | SOCH APPARELS PRIVATE LIMITED             | Bengaluru    | Karnataka       |
|  288 | FERANOID                                  | Jaipur       | Rajasthan       |
|  289 | Fable Label                               | Surat        | Gujarat         |
|  290 | JanakDulari Creation                      | Jaipur       | Rajasthan       |
|  291 | CANTABIL RETAIL INDIA LIMITED             | New Delhi    | Delhi           |
|  292 | Jevi Prints                               | Mumbai       | Maharashtra     |
|  293 | SXV STYLE                                 | Surat        | Gujarat         |
